country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,year_of_event,independence_from,year,date_mdy
Myanmar,04-01-1948,Sunday,4,Jan,Independence Day,Jan-04,1948,United Kingdom,1948,"January 4, 1948"
Namibia,21-03-1990,Wednesday,21,Mar,"Unspecified (1990, South Africa)",Mar-21,1990,South Africa,1990,"March 21, 1990"
Nauru,31-01-1968,Wednesday,31,Jan,"Unspecified (1968, Australia, New Zealand and the United Kingdom)",Jan-31,1968,"Australia, New Zealand and the United Kingdom",1968,"January 31, 1968"
"Netherlands, The",1581-01-01,Sunday,26,Jul,"Unspecified (1581, Spanish Empire)",Jul-26,1581,Spanish Empire,1581,"July 26, 1581"
Nicaragua,1821-09-15,Saturday,15,Sep,Independence Day,Sep-15,1821,Spanish Empire,1821,"September 15, 1821"
Niger,03-08-1960,Wednesday,3,Aug,Independence Day,Aug-03,1960,France,1960,"August 3, 1960"
Nigeria,01-10-1960,Saturday,1,Oct,Independence Day,Oct-01,1960,United Kingdom,1960,"October 1, 1960"
North Macedonia,08-09-1991,Sunday,8,Sep,Independence Day (Den na nezavisnosta),Sep-08,1991,SFR Yugoslavia,1991,"September 8, 1991"
Norway,1814-05-17,Tuesday,17,May,Constitution Day,May-17,1814,Denmark,1814,"May 17, 1814"
Norway,07-06-1905,Wednesday,7,Jun,Independence Day,Jun-07,1905,Sweden,1905,"June 7, 1905"
Oman,1650-01-01,Friday,18,Nov,National Day,Nov-18,1650,Portugal,1650,"November 18, 1650"
Pakistan,14-08-1947,Thursday,14,Aug,Independence Day (Youm-e-Azadi),Aug-14,1947,United Kingdom,1947,"August 14, 1947"
Palestine,15-11-1988,Tuesday,15,Nov,National Day,Nov-15,1988,Israel,1988,"November 15, 1988"
Panama,1821-11-28,Wednesday,28,Nov,"Unspecified (1821, Spain)",Nov-28,1821,Spain,1821,"November 28, 1821"
Panama,03-11-1903,Tuesday,3,Nov,"Unspecified (1903, Colombia)",Nov-03,1903,Colombia,1903,"November 3, 1903"
Papua New Guinea,16-09-1975,Tuesday,16,Sep,"Unspecified (1975, Australia of the former Territory of Papua and New Guinea)",Sep-16,1975,Australia of the former Territory of Papua and New Guinea,1975,"September 16, 1975"
Paraguay,1811-05-14,Tuesday,14,May,Independence Day,May-14,1811,Spanish Empire[72],1811,"May 14, 1811"
Peru,1821-07-28,Saturday,28,Jul,Fiestas Patrias,Jul-28,1821,Spanish Empire,1821,"July 28, 1821"
